#Date    MJD          VIS?  PAnom   PArange
20-02-09 58888.000000 True   52.027  46.871-- 57.184 
20-02-10 58889.000000 True   53.048  47.891-- 58.205 
20-02-11 58890.000000 True   54.069  48.912-- 59.225 
20-02-12 58891.000000 True   55.089  49.932-- 60.246 
20-02-13 58892.000000 True   56.109  50.952-- 61.265 
20-02-14 58893.000000 True   57.128  51.971-- 62.284 
20-02-15 58894.000000 True   58.147  52.990-- 63.303 
20-02-16 58895.000000 True   59.165  54.008-- 64.321 
20-02-17 58896.000000 True   60.183  55.026-- 65.339 
20-02-18 58897.000000 True   61.200  56.043-- 66.356 
20-02-19 58898.000000 True   62.216  57.060-- 67.373 
20-02-20 58899.000000 True   63.232  58.076-- 68.389 
20-02-21 58900.000000 True   64.247  59.091-- 69.404 
20-02-22 58901.000000 True   65.262  60.106-- 70.419 
20-02-23 58902.000000 True   66.276  61.120-- 71.433 
20-02-24 58903.000000 True   67.289  62.133-- 72.446 
20-02-25 58904.000000 True   68.302  63.146-- 73.459 
20-02-26 58905.000000 True   69.314  64.157-- 74.471 
20-02-27 58906.000000 True   70.325  65.169-- 75.482 
20-02-28 58907.000000 True   71.336  66.179-- 76.492 
20-02-29 58908.000000 True   72.345  67.189-- 77.502 
20-03-01 58909.000000 True   73.354  68.198-- 78.511 
20-03-02 58910.000000 True   74.362  69.206-- 79.519 
20-03-03 58911.000000 True   75.370  70.213-- 80.527 
20-03-04 58912.000000 True   76.376  71.220-- 81.533 
20-03-05 58913.000000 True   77.382  72.226-- 82.539 
20-03-06 58914.000000 True   78.387  73.231-- 83.544 
20-03-07 58915.000000 True   79.391  74.235-- 84.548 
20-03-08 58916.000000 True   80.395  75.238-- 85.551 
20-03-09 58917.000000 True   81.397  76.241-- 86.554 
20-03-10 58918.000000 True   82.399  77.242-- 87.556 
20-03-11 58919.000000 True   83.400  78.243-- 88.556 
20-03-12 58920.000000 True   84.400  79.243-- 89.556 
20-03-13 58921.000000 True   85.399  80.242-- 90.556 
20-03-14 58922.000000 True   86.397  81.241-- 91.554 
20-03-15 58923.000000 True   87.395  82.238-- 92.551 
20-03-16 58924.000000 True   88.391  83.235-- 93.548 
20-03-17 58925.000000 True   89.387  84.231-- 94.544 
20-03-18 58926.000000 True   90.382  85.226-- 95.539 
20-03-19 58927.000000 True   91.376  86.220-- 96.533 
20-03-20 58928.000000 True   92.370  87.213-- 97.526 
20-03-21 58929.000000 True   93.362  88.206-- 98.519 
20-03-22 58930.000000 True   94.354  89.197-- 99.510 
20-03-23 58931.000000 True   95.344  90.188--100.501 
20-03-24 58932.000000 True   96.334  91.178--101.491 
20-03-25 58933.000000 True   97.324  92.167--102.480 
20-03-26 58934.000000 True   98.312  93.155--103.468 
20-03-27 58935.000000 True   99.299  94.143--104.456 
20-03-28 58936.000000 True  100.286  95.129--105.443 
20-03-29 58937.000000 True  101.272  96.115--106.428 
20-03-30 58938.000000 True  102.257  97.100--107.413 
20-03-31 58939.000000 True  103.241  98.084--108.398 
